osm_id,osm_type,name,opening_hours,amenity,parking,fuel,capacity,public_transport,operator,leisure,layer,railway,surface,building,longitude,latitude,geom_type
"60974104",ways_poly,,,,,,,,,,,,,apartments,30.361320179009,59.9559502151194,POLYGON
"24882035",ways_poly,,,,,,,,,,,,,apartments,30.3611178869773,59.9531957663033,POLYGON
"24882038",ways_poly,,,,,,,,,,,,,apartments,30.3610618257494,59.9537132398474,POLYGON
"1099730941",ways_poly,,,,,,,,,,,,,yes,30.36103655,59.95393995,POLYGON
"132930564",ways_poly,Морг,,mortuary,,,,,,,,,,yes,30.3604016975073,59.953916658477,POLYGON
"24882049",ways_poly,Музей хлеба,Tu-Sa 10:00-18:00,,,,,,,,,,,yes,30.3601684658427,59.9535978025708,POLYGON
"139539149",ways_poly,"ООО ""Транснефть-Балтика""",,,,,,,,,,,,office,30.35959039243,59.9532318191201,POLYGON
"308577134",ways_poly,,,,,,,,,,,,,service,30.35952915,59.95364195,POLYGON
"380103171",ways_poly,,,,,,,,,,,,,garages,30.3602829337578,59.9559530322377,POLYGON
"158544648",ways_poly,,,,,,,,,,,,,yes,30.3603047201599,59.956860746735,POLYGON
"60974087",ways_poly,,,,,,,,,,,,,commercial,30.3599751206749,59.9565908650515,POLYGON
"60974103",ways_poly,,,,,,,,,,,,,yes,30.3597706807997,59.9568365998285,POLYGON
"60974105",ways_poly,,,,,,,,,,,,,kindergarten,30.3594978350297,59.9561628605246,POLYGON
"60974096",ways_poly,,,,,,,,,,,,,yes,30.3598316982825,59.9572402985497,POLYGON
"60974095",ways_poly,,,,,,,,,,,,,yes,30.3597765106098,59.9584343367848,POLYGON
"1169075941",ways_poly,,,parking,surface,,,,,,,,,,30.3599550435537,59.9582433110481,POLYGON
"158544574",ways_poly,,,,,,,,,,,,,yes,30.36030615,59.9583255,POLYGON
"158544507",ways_poly,,,,,,,,,,,,,yes,30.36003555,59.9577749,POLYGON
"158544541",ways_poly,,,,,,,,,,,,,yes,30.36052615,59.9570932,POLYGON
"60974110",ways_poly,,,,,,,,,,,,,yes,30.3604061392722,59.9575959782494,POLYGON
"158544594",ways_poly,,,,,,,,,,,,,yes,30.3608336287337,59.9574244051671,POLYGON
"158544484",ways_poly,,,,,,,,,,,,,yes,30.36066895,59.9573571,POLYGON
"158544626",ways_poly,,,,,,,,,,,,,yes,30.3606161527987,59.9572283682922,POLYGON
"158544472",ways_poly,,,,,,,,,,,,,garage,30.360913780026,59.9571746073894,POLYGON
"158544481",ways_poly,,,,,,,,,,,,,yes,30.3610255709501,59.9572170955761,POLYGON
"60974094",ways_poly,,,,,,,,,,,,,yes,30.361017618197,59.9571327206777,POLYGON
"158544569",ways_poly,,,,,,,,,,,,,yes,30.361295,59.9580716,POLYGON
"60557320",ways_poly,,,,,,,,,,,,,yes,30.3605147145785,59.958034371895,POLYGON
"585651866",ways_poly,,,parking,,,,,,,,,asphalt,,30.3631030037366,59.9583501685257,POLYGON
"60974098",ways_poly,,,,,,,,,,,,,yes,30.3615082103423,59.9587170779915,POLYGON
"158544473",ways_poly,,,,,,,,,,,,,yes,30.3597295,59.95897935,POLYGON
"1266376159",ways_poly,,,,,,,,,,,,,yes,30.3662116735115,59.9570239471218,POLYGON
"366423124",ways_poly,,,parking,surface,,,,,,,,,,30.3743123087996,59.9569452098739,POLYGON
"5440933",relations,,,,,,,,,,,,,service,30.4001697367717,59.9757800812049,POLYGON
"5440934",relations,,,,,,,,,,,,,apartments,30.3990953619675,59.9761108064855,POLYGON
"14508269",relations,,,,,,,,,park,,,,,30.397721905291,59.9718511744907,MULTIPOLYGON
"5440935",relations,,,,,,,,,,,,,kindergarten,30.3928506796517,59.9744505168025,POLYGON
"16256438",relations,,,parking,surface,,,,,,,,asphalt,,30.3751151005536,59.9748252034715,POLYGON
"16856622",relations,,,,,,,,,,,,,apartments,30.3822766625581,59.9697847722229,POLYGON
"16856613",relations,,,,,,,,,,,,,apartments,30.3840407808303,59.9705098370021,POLYGON
"16856627",relations,,,,,,,,,,,,,construction,30.3840362618285,59.9692396528946,POLYGON
"2709787",relations,,,,,,,,,,,,,construction,30.3848371528938,59.9693370331308,POLYGON
"15322592",relations,,,,,,,,,,,,,apartments,30.387824857477,59.9726275719966,POLYGON
"5449144",relations,,,,,,,,,,,,,yes,30.3860183370315,59.9666061455658,POLYGON
"2709786",relations,,,,,,,,,,,,,apartments,30.3840617098859,59.9684832875526,POLYGON
"4494792",relations,Кондратьевский бизнес-центр,,,,,,,,,,,,commercial,30.3825584565518,59.9645818801389,POLYGON
"4494793",relations,,,,,,,,,,,,,yes,30.3818745012654,59.964011103414,POLYGON
"4494791",relations,Fernan Leger,,,,,,,,,,,,commercial,30.3820905363061,59.9636536759424,POLYGON
"5628064",relations,,,,,,,,,,,,,yes,30.3767243492806,59.9635284003299,POLYGON
"5628065",relations,,,,,,,,,,,,,yes,30.3761133569814,59.9637181083285,POLYGON
"5628055",relations,,,,,,,,,,,,,yes,30.3757691068994,59.9639746330105,POLYGON
